Time,PV(W),Grid(W),Load(W)
2025-01-28 00:00:00,0,0,0
2025-01-28 00:05:00,0,0,0
2025-01-28 00:10:00,0,0,0
2025-01-28 00:15:00,0,0,0
2025-01-28 00:20:00,0,0,0
2025-01-28 00:25:00,0,0,0
2025-01-28 00:30:00,0,0,0
2025-01-28 00:35:00,0,0,0
2025-01-28 00:40:00,0,0,0
2025-01-28 00:45:00,0,0,0
2025-01-28 00:50:00,0,0,0
2025-01-28 00:55:00,0,0,0
2025-01-28 01:00:00,0,0,0
2025-01-28 01:05:00,0,0,0
2025-01-28 01:10:00,0,0,0
2025-01-28 01:15:00,0,0,0
2025-01-28 01:20:00,0,0,0
2025-01-28 01:25:00,0,0,0
2025-01-28 01:30:00,0,0,0
2025-01-28 01:35:00,0,0,0
2025-01-28 01:40:00,0,0,0
2025-01-28 01:45:00,0,0,0
2025-01-28 01:50:00,0,0,0
2025-01-28 01:55:00,0,0,0
2025-01-28 02:00:00,0,0,0
2025-01-28 02:05:00,0,0,0
2025-01-28 02:10:00,0,0,0
2025-01-28 02:15:00,0,0,0
2025-01-28 02:20:00,0,0,0
2025-01-28 02:25:00,0,0,0
2025-01-28 02:30:00,0,0,0
2025-01-28 02:35:00,0,0,0
2025-01-28 02:40:00,0,0,0
2025-01-28 02:45:00,0,0,0
2025-01-28 02:50:00,0,0,0
2025-01-28 02:55:00,0,0,0
2025-01-28 03:00:00,0,0,0
2025-01-28 03:05:00,0,0,0
2025-01-28 03:10:00,0,0,0
2025-01-28 03:15:00,0,0,0
2025-01-28 03:20:00,0,0,0
2025-01-28 03:25:00,0,0,0
2025-01-28 03:30:00,0,0,0
2025-01-28 03:35:00,0,0,0
2025-01-28 03:40:00,0,0,0
2025-01-28 03:45:00,0,0,0
2025-01-28 03:50:00,0,0,0
2025-01-28 03:55:00,0,0,0
2025-01-28 04:00:00,0,0,0
2025-01-28 04:05:00,0,0,0
2025-01-28 04:10:00,0,0,0
2025-01-28 04:15:00,0,0,0
2025-01-28 04:20:00,0,0,0
2025-01-28 04:25:00,0,0,0
2025-01-28 04:30:00,0,0,0
2025-01-28 04:35:00,0,0,0
2025-01-28 04:40:00,0,0,0
2025-01-28 04:45:00,0,0,0
2025-01-28 04:50:00,0,0,0
2025-01-28 04:55:00,0,0,0
2025-01-28 05:00:00,0,0,0
2025-01-28 05:05:00,0,0,0
2025-01-28 05:10:00,0,0,0
2025-01-28 05:15:00,0,0,0
2025-01-28 05:20:00,0,0,0
2025-01-28 05:25:00,0,0,0
2025-01-28 05:30:00,0,0,0
2025-01-28 05:35:00,0,0,0
2025-01-28 05:40:00,0,0,0
2025-01-28 05:45:00,0,0,0
2025-01-28 05:50:00,0,0,0
2025-01-28 05:55:00,0,0,0
2025-01-28 06:00:00,0,0,0
2025-01-28 06:05:00,0,0,0
2025-01-28 06:10:00,0,0,0
2025-01-28 06:15:00,0,0,0
2025-01-28 06:20:00,0,0,0
2025-01-28 06:25:00,0,0,0
2025-01-28 06:30:00,0,0,0
2025-01-28 06:35:00,0,0,0
2025-01-28 06:40:00,0,0,0
2025-01-28 06:45:00,0,0,0
2025-01-28 06:50:00,0,0,0
2025-01-28 06:55:00,0,0,0
2025-01-28 07:00:00,0,0,0
2025-01-28 07:05:00,0,0,0
2025-01-28 07:10:00,0,0,0
2025-01-28 07:15:00,0,0,0
2025-01-28 07:20:00,0,0,0
2025-01-28 07:25:00,0,0,0
2025-01-28 07:30:00,0,0,0
2025-01-28 07:35:00,0,0,0
2025-01-28 07:40:00,0,0,0
2025-01-28 07:45:00,0,0,0
2025-01-28 07:50:00,0,0,0
2025-01-28 07:55:00,0,0,0
2025-01-28 08:00:00,0,0,0
2025-01-28 08:05:00,0,0,0
2025-01-28 08:10:00,0,0,0
2025-01-28 08:15:00,0,0,0
2025-01-28 08:20:00,0,0,0
2025-01-28 08:25:00,571,12,583
2025-01-28 08:30:00,680,14,694
2025-01-28 08:35:00,709,15,724
2025-01-28 08:40:00,631,13,644
2025-01-28 08:45:00,588,12,600
2025-01-28 08:50:00,638,13,651
2025-01-28 08:55:00,661,14,675
2025-01-28 09:00:00,650,14,664
2025-01-28 09:05:00,755,18,773
2025-01-28 09:10:00,965,23,988
2025-01-28 09:15:00,1559,39,1598
2025-01-28 09:20:00,2578,65,2643
2025-01-28 09:25:00,2652,67,2719
2025-01-28 09:30:00,2447,61,2508
2025-01-28 09:35:00,2586,65,2651
2025-01-28 09:40:00,2359,58,2417
2025-01-28 09:45:00,2201,55,2256
2025-01-28 09:50:00,2045,49,2094
2025-01-28 09:55:00,1473,35,1508
2025-01-28 10:00:00,1572,38,1610
2025-01-28 10:05:00,1782,44,1826
2025-01-28 10:10:00,2038,51,2089
2025-01-28 10:15:00,2731,68,2799
2025-01-28 10:20:00,2864,72,2936
2025-01-28 10:25:00,5060,127,5187
2025-01-28 10:30:00,5760,144,5904
2025-01-28 10:35:00,5420,135,5555
2025-01-28 10:40:00,5318,132,5450
2025-01-28 10:45:00,6246,158,6404
2025-01-28 10:50:00,8246,206,8452
2025-01-28 10:55:00,9662,241,9903
2025-01-28 11:00:00,10819,272,11091
2025-01-28 11:05:00,11084,278,11362
2025-01-28 11:10:00,9019,226,9245
2025-01-28 11:15:00,6071,152,6223
2025-01-28 11:20:00,6721,167,6888
2025-01-28 11:25:00,7277,182,7459
2025-01-28 11:30:00,7904,198,8102
2025-01-28 11:35:00,7772,196,7968
2025-01-28 11:40:00,7772,196,7968
2025-01-28 11:45:00,7772,196,7968
2025-01-28 11:50:00,7844,196,8040
2025-01-28 11:55:00,6555,165,6720
2025-01-28 12:00:00,5762,145,5907
2025-01-28 12:05:00,3900,98,3998
2025-01-28 12:10:00,3181,80,3261
2025-01-28 12:15:00,3064,76,3140
2025-01-28 12:20:00,3064,76,3140
2025-01-28 12:25:00,4713,118,4831
2025-01-28 12:30:00,7278,182,7460
2025-01-28 12:35:00,6765,169,6934
2025-01-28 12:40:00,5771,144,5915
2025-01-28 12:45:00,5069,127,5196
2025-01-28 12:50:00,5343,133,5476
2025-01-28 12:55:00,5820,145,5965
2025-01-28 13:00:00,5698,143,5841
2025-01-28 13:05:00,5500,137,5637
2025-01-28 13:10:00,5228,130,5358
2025-01-28 13:15:00,5036,127,5163
2025-01-28 13:20:00,4661,117,4778
2025-01-28 13:25:00,4291,108,4399
2025-01-28 13:30:00,4973,125,5098
2025-01-28 13:35:00,6011,152,6163
2025-01-28 13:40:00,6938,174,7112
2025-01-28 13:45:00,7414,185,7599
2025-01-28 13:50:00,7579,190,7769
2025-01-28 13:55:00,7964,199,8163
2025-01-28 14:00:00,8698,218,8916
2025-01-28 14:05:00,9688,243,9931
2025-01-28 14:10:00,10160,255,10415
2025-01-28 14:15:00,10834,272,11106
2025-01-28 14:20:00,11380,286,11666
2025-01-28 14:25:00,12726,320,13046
2025-01-28 14:30:00,12875,324,13199
2025-01-28 14:35:00,12188,306,12494
2025-01-28 14:40:00,11861,298,12159
2025-01-28 14:45:00,12069,303,12372
2025-01-28 14:50:00,12136,305,12441
2025-01-28 14:55:00,12624,317,12941
2025-01-28 15:00:00,13253,333,13586
2025-01-28 15:05:00,14376,361,14737
2025-01-28 15:10:00,15426,388,15814
2025-01-28 15:15:00,16860,423,17283
2025-01-28 15:20:00,18590,468,19058
2025-01-28 15:25:00,20399,515,20914
2025-01-28 15:30:00,21246,535,21781
2025-01-28 15:35:00,18503,466,18969
2025-01-28 15:40:00,16407,414,16821
2025-01-28 15:45:00,14625,368,14993
2025-01-28 15:50:00,12997,327,13324
2025-01-28 15:55:00,11804,297,12101
2025-01-28 16:00:00,9939,248,10187
2025-01-28 16:05:00,9939,248,10187
2025-01-28 16:10:00,7803,195,7998
2025-01-28 16:15:00,7239,182,7421
2025-01-28 16:20:00,7515,188,7703
2025-01-28 16:25:00,7515,188,7703
2025-01-28 16:30:00,9543,239,9782
2025-01-28 16:35:00,11507,290,11797
2025-01-28 16:40:00,12997,328,13325
2025-01-28 16:45:00,18863,477,19340
2025-01-28 16:50:00,26791,678,27469
2025-01-28 16:55:00,19542,492,20034
2025-01-28 17:00:00,17565,442,18007
2025-01-28 17:05:00,13769,346,14115
2025-01-28 17:10:00,13637,343,13980
2025-01-28 17:15:00,11969,302,12271
2025-01-28 17:20:00,11969,302,12271
2025-01-28 17:25:00,7703,192,7895
2025-01-28 17:30:00,5701,142,5843
2025-01-28 17:35:00,4290,106,4396
2025-01-28 17:40:00,3569,88,3657
2025-01-28 17:45:00,3065,75,3140
2025-01-28 17:50:00,3065,75,3140
2025-01-28 17:55:00,3065,75,3140
2025-01-28 18:00:00,3065,75,3140
2025-01-28 18:05:00,3065,75,3140
2025-01-28 18:10:00,3065,75,3140
2025-01-28 18:15:00,3065,75,3140
2025-01-28 18:20:00,3065,75,3140
2025-01-28 18:25:00,--,--,0
2025-01-28 18:30:00,--,--,0
2025-01-28 18:35:00,--,--,0
2025-01-28 18:40:00,--,--,0
2025-01-28 18:45:00,--,--,0
2025-01-28 18:50:00,--,--,0
2025-01-28 18:55:00,--,--,0
2025-01-28 19:00:00,765,17,782
2025-01-28 19:05:00,630,13,643
2025-01-28 19:10:00,422,8,430
2025-01-28 19:15:00,230,3,233
2025-01-28 19:20:00,70,0,70
2025-01-28 19:25:00,19,-2,17
2025-01-28 19:30:00,9,-4,5
2025-01-28 19:35:00,0,0,0
2025-01-28 19:40:00,0,0,0
2025-01-28 19:45:00,0,0,0
2025-01-28 19:50:00,0,0,0
2025-01-28 19:55:00,0,0,0
2025-01-28 20:00:00,0,0,0
2025-01-28 20:05:00,0,0,0
2025-01-28 20:10:00,0,0,0
2025-01-28 20:15:00,0,0,0
2025-01-28 20:20:00,0,0,0
2025-01-28 20:25:00,0,0,0
2025-01-28 20:30:00,0,0,0
2025-01-28 20:35:00,0,0,0
2025-01-28 20:40:00,0,0,0
2025-01-28 20:45:00,0,0,0
2025-01-28 20:50:00,0,0,0
2025-01-28 20:55:00,0,0,0
2025-01-28 21:00:00,0,0,0
2025-01-28 21:05:00,0,0,0
2025-01-28 21:10:00,0,0,0
2025-01-28 21:15:00,0,0,0
2025-01-28 21:20:00,0,0,0
2025-01-28 21:25:00,0,0,0
2025-01-28 21:30:00,0,0,0
2025-01-28 21:35:00,0,0,0
2025-01-28 21:40:00,0,0,0
2025-01-28 21:45:00,0,0,0
2025-01-28 21:50:00,0,0,0
2025-01-28 21:55:00,0,0,0
2025-01-28 22:00:00,0,0,0
2025-01-28 22:05:00,0,0,0
2025-01-28 22:10:00,0,0,0
2025-01-28 22:15:00,0,0,0
2025-01-28 22:20:00,0,0,0
2025-01-28 22:25:00,0,0,0
2025-01-28 22:30:00,0,0,0
2025-01-28 22:35:00,0,0,0
2025-01-28 22:40:00,0,0,0
2025-01-28 22:45:00,0,0,0
2025-01-28 22:50:00,0,0,0
2025-01-28 22:55:00,0,0,0
2025-01-28 23:00:00,0,0,0
2025-01-28 23:05:00,0,0,0
2025-01-28 23:10:00,0,0,0
2025-01-28 23:15:00,0,0,0
2025-01-28 23:20:00,0,0,0
2025-01-28 23:25:00,0,0,0
2025-01-28 23:30:00,0,0,0
2025-01-28 23:35:00,0,0,0
2025-01-28 23:40:00,0,0,0
2025-01-28 23:45:00,0,0,0
2025-01-28 23:50:00,0,0,0
2025-01-28 23:55:00,0,0,0
