Time	PV(W)	Grid(W)	Load(W)
6/2/2025 0:00	0	0	0
6/2/2025 0:05	0	0	0
6/2/2025 0:10	0	0	0
6/2/2025 0:15	0	0	0
6/2/2025 0:20	0	0	0
6/2/2025 0:25	0	0	0
6/2/2025 0:30	0	0	0
6/2/2025 0:35	0	0	0
6/2/2025 0:40	0	0	0
6/2/2025 0:45	0	0	0
6/2/2025 0:50	0	0	0
6/2/2025 0:55	0	0	0
6/2/2025 1:00	0	0	0
6/2/2025 1:05	0	0	0
6/2/2025 1:10	0	0	0
6/2/2025 1:15	0	0	0
6/2/2025 1:20	0	0	0
6/2/2025 1:25	0	0	0
6/2/2025 1:30	0	0	0
6/2/2025 1:35	0	0	0
6/2/2025 1:40	0	0	0
6/2/2025 1:45	0	0	0
6/2/2025 1:50	0	0	0
6/2/2025 1:55	0	0	0
6/2/2025 2:00	0	0	0
6/2/2025 2:05	0	0	0
6/2/2025 2:10	0	0	0
6/2/2025 2:15	0	0	0
6/2/2025 2:20	0	0	0
6/2/2025 2:25	0	0	0
6/2/2025 2:30	0	0	0
6/2/2025 2:35	0	0	0
6/2/2025 2:40	0	0	0
6/2/2025 2:45	0	0	0
6/2/2025 2:50	0	0	0
6/2/2025 2:55	0	0	0
6/2/2025 3:00	0	0	0
6/2/2025 3:05	0	0	0
6/2/2025 3:10	0	0	0
6/2/2025 3:15	0	0	0
6/2/2025 3:20	0	0	0
6/2/2025 3:25	0	0	0
6/2/2025 3:30	0	0	0
6/2/2025 3:35	0	0	0
6/2/2025 3:40	0	0	0
6/2/2025 3:45	0	0	0
6/2/2025 3:50	0	0	0
6/2/2025 3:55	0	0	0
6/2/2025 4:00	0	0	0
6/2/2025 4:05	0	0	0
6/2/2025 4:10	0	0	0
6/2/2025 4:15	0	0	0
6/2/2025 4:20	0	0	0
6/2/2025 4:25	0	0	0
6/2/2025 4:30	0	0	0
6/2/2025 4:35	0	0	0
6/2/2025 4:40	0	0	0
6/2/2025 4:45	0	0	0
6/2/2025 4:50	0	0	0
6/2/2025 4:55	0	0	0
6/2/2025 5:00	0	0	0
6/2/2025 5:05	0	0	0
6/2/2025 5:10	0	0	0
6/2/2025 5:15	0	0	0
6/2/2025 5:20	0	0	0
6/2/2025 5:25	0	0	0
6/2/2025 5:30	0	0	0
6/2/2025 5:35	0	0	0
6/2/2025 5:40	0	0	0
6/2/2025 5:45	0	0	0
6/2/2025 5:50	0	0	0
6/2/2025 5:55	0	0	0
6/2/2025 6:00	0	0	0
6/2/2025 6:05	0	0	0
6/2/2025 6:10	0	0	0
6/2/2025 6:15	0	0	0
6/2/2025 6:20	0	0	0
6/2/2025 6:25	0	0	0
6/2/2025 6:30	0	0	0
6/2/2025 6:35	0	0	0
6/2/2025 6:40	0	0	0
6/2/2025 6:45	0	0	0
6/2/2025 6:50	0	0	0
6/2/2025 6:55	0	0	0
6/2/2025 7:00	0	0	0
6/2/2025 7:05	0	0	0
6/2/2025 7:10	0	0	0
6/2/2025 7:15	0	0	0
6/2/2025 7:20	0	0	0
6/2/2025 7:25	0	0	0
6/2/2025 7:30	0	0	0
6/2/2025 7:35	0	0	0
6/2/2025 7:40	0	0	0
6/2/2025 7:45	208	2	210
6/2/2025 7:50	948	21	969
6/2/2025 7:55	1355	32	1387
6/2/2025 8:00	1855	45	1900
6/2/2025 8:05	2867	72	2939
6/2/2025 8:10	4135	104	4239
6/2/2025 8:15	6732	169	6901
6/2/2025 8:20	7414	185	7599
6/2/2025 8:25	11807	297	12104
6/2/2025 8:30	11897	300	12197
6/2/2025 8:35	6658	166	6824
6/2/2025 8:40	10455	263	10718
6/2/2025 8:45	11954	301	12255
6/2/2025 8:50	9492	240	9732
6/2/2025 8:55	17074	421	17495
6/2/2025 9:00	17074	421	17495
6/2/2025 9:05	12357	310	12667
6/2/2025 9:10	12876	326	13202
6/2/2025 9:15	15172	381	15553
6/2/2025 9:20	12560	318	12878
6/2/2025 9:25	15041	378	15419
6/2/2025 9:30	11878	300	12178
6/2/2025 9:35	11941	299	12240
6/2/2025 9:40	11971	301	12272
6/2/2025 9:45	11008	276	11284
6/2/2025 9:50	10082	253	10335
6/2/2025 9:55	10179	255	10434
6/2/2025 10:00	11704	294	11998
6/2/2025 10:05	14926	373	15299
6/2/2025 10:10	14149	356	14505
6/2/2025 10:15	16995	430	17425
6/2/2025 10:20	19213	486	19699
6/2/2025 10:25	20176	509	20685
6/2/2025 10:30	19879	505	20384
6/2/2025 10:35	28447	727	29174
6/2/2025 10:40	46000	1104	47104
6/2/2025 10:45	38630	957	39587
6/2/2025 10:50	31813	804	32617
6/2/2025 10:55	41247	1051	42298
6/2/2025 11:00	44139	1113	45252
6/2/2025 11:05	44136	1113	45249
6/2/2025 11:10	43932	1108	45040
6/2/2025 11:15	31738	778	32516
6/2/2025 11:20	31738	778	32516
6/2/2025 11:25	42596	1075	43671
6/2/2025 11:30	42465	1071	43536
6/2/2025 11:35	41847	1057	42904
6/2/2025 11:40	43273	1091	44364
6/2/2025 11:45	38281	966	39247
6/2/2025 11:50	31824	804	32628
6/2/2025 11:55	37869	1002	38871
6/2/2025 12:00	33258	868	34126
6/2/2025 12:05	33732	847	34579
6/2/2025 12:10	43243	1089	44332
6/2/2025 12:15	43545	1098	44643
6/2/2025 12:20	26792	673	27465
6/2/2025 12:25	35505	898	36403
6/2/2025 12:30	42335	1068	43403
6/2/2025 12:35	31341	750	32091
6/2/2025 12:40	44145	1112	45257
6/2/2025 12:45	38170	966	39136
6/2/2025 12:50	42769	1078	43847
6/2/2025 12:55	41381	1044	42425
6/2/2025 13:00	40549	1023	41572
6/2/2025 13:05	40187	1014	41201
6/2/2025 13:10	40406	1020	41426
6/2/2025 13:15	42090	1062	43152
6/2/2025 13:20	42846	1084	43930
6/2/2025 13:25	43753	1104	44857
6/2/2025 13:30	42783	1081	43864
6/2/2025 13:35	8995	226	9221
6/2/2025 13:40	10759	269	11028
6/2/2025 13:45	43918	1107	45025
6/2/2025 13:50	42289	1066	43355
6/2/2025 13:55	41851	1055	42906
6/2/2025 14:00	42949	1083	44032
6/2/2025 14:05	42925	1082	44007
6/2/2025 14:10	42829	1106	43935
6/2/2025 14:15	13465	335	13800
6/2/2025 14:20	17261	438	17699
6/2/2025 14:25	43260	1078	44338
6/2/2025 14:30	44248	1102	45350
6/2/2025 14:35	44149	1112	45261
6/2/2025 14:40	44137	1116	45253
6/2/2025 14:45	42698	1075	43773
6/2/2025 14:50	44157	1113	45270
6/2/2025 14:55	43757	1104	44861
6/2/2025 15:00	43353	1093	44446
6/2/2025 15:05	27026	687	27713
6/2/2025 15:10	13018	327	13345
6/2/2025 15:15	28095	699	28794
6/2/2025 15:20	11261	283	11544
6/2/2025 15:25	11091	279	11370
6/2/2025 15:30	11091	279	11370
6/2/2025 15:35	22903	603	23506
6/2/2025 15:40	13056	327	13383
6/2/2025 15:45	13402	336	13738
6/2/2025 15:50	28516	733	29249
6/2/2025 15:55	8243	205	8448
6/2/2025 16:00	6729	168	6897
6/2/2025 16:05	7261	182	7443
6/2/2025 16:10	8653	217	8870
6/2/2025 16:15	6887	174	7061
6/2/2025 16:20	7214	180	7394
6/2/2025 16:25	11104	280	11384
6/2/2025 16:30	31339	815	32154
6/2/2025 16:35	22892	565	23457
6/2/2025 16:40	19158	479	19637
6/2/2025 16:45	34471	872	35343
6/2/2025 16:50	35763	904	36667
6/2/2025 16:55	35763	904	36667
6/2/2025 17:00	35763	904	36667
6/2/2025 17:05	35763	904	36667
6/2/2025 17:10	35763	904	36667
6/2/2025 17:15	35763	904	36667
6/2/2025 17:20	6665	166	6831
6/2/2025 17:25	7438	186	7624
6/2/2025 17:30	4275	106	4381
6/2/2025 17:35	2192	54	2246
6/2/2025 17:40	1556	37	1593
6/2/2025 17:45	1352	32	1384
6/2/2025 17:50	646	13	659
6/2/2025 17:55	281	4	285
6/2/2025 18:00	123	0	123
6/2/2025 18:05	123	0	123
6/2/2025 18:10	64	0	64
6/2/2025 18:15	24	-2	22
6/2/2025 18:20	27	-2	25
6/2/2025 18:25	27	-2	25
6/2/2025 18:30	27	-2	25
6/2/2025 18:35	0	0	0
6/2/2025 18:40	0	0	0
6/2/2025 18:45	0	0	0
6/2/2025 18:50	0	0	0
6/2/2025 18:55	0	0	0
6/2/2025 19:00	0	0	0
6/2/2025 19:05	0	0	0
6/2/2025 19:10	0	0	0
6/2/2025 19:15	0	0	0
6/2/2025 19:20	0	0	0
6/2/2025 19:25	0	0	0
6/2/2025 19:30	69	0	69
6/2/2025 19:35	0	0	0
6/2/2025 19:40	0	0	0
6/2/2025 19:45	0	0	0
6/2/2025 19:50	0	0	0
6/2/2025 19:55	0	0	0
6/2/2025 20:00	0	0	0
6/2/2025 20:05	0	0	0
6/2/2025 20:10	0	0	0
6/2/2025 20:15	0	0	0
6/2/2025 20:20	0	0	0
6/2/2025 20:25	0	0	0
6/2/2025 20:30	0	0	0
6/2/2025 20:35	0	0	0
6/2/2025 20:40	0	0	0
6/2/2025 20:45	0	0	0
6/2/2025 20:50	0	0	0
6/2/2025 20:55	0	0	0
6/2/2025 21:00	0	0	0
6/2/2025 21:05	0	0	0
6/2/2025 21:10	0	0	0
6/2/2025 21:15	0	0	0
6/2/2025 21:20	0	0	0
6/2/2025 21:25	0	0	0
6/2/2025 21:30	0	0	0
6/2/2025 21:35	0	0	0
6/2/2025 21:40	0	0	0
6/2/2025 21:45	0	0	0
6/2/2025 21:50	0	0	0
6/2/2025 21:55	0	0	0
6/2/2025 22:00	0	0	0
6/2/2025 22:05	0	0	0
6/2/2025 22:10	0	0	0
6/2/2025 22:15	0	0	0
6/2/2025 22:20	0	0	0
6/2/2025 22:25	0	0	0
6/2/2025 22:30	0	0	0
6/2/2025 22:35	0	0	0
6/2/2025 22:40	0	0	0
6/2/2025 22:45	0	0	0
6/2/2025 22:50	0	0	0
6/2/2025 22:55	0	0	0
6/2/2025 23:00	0	0	0
6/2/2025 23:05	0	0	0
6/2/2025 23:10	0	0	0
6/2/2025 23:15	0	0	0
6/2/2025 23:20	0	0	0
6/2/2025 23:25	0	0	0
6/2/2025 23:30	0	0	0
6/2/2025 23:35	0	0	0
6/2/2025 23:40	0	0	0
6/2/2025 23:45	0	0	0
6/2/2025 23:50	0	0	0
6/2/2025 23:55	0	0	0
