Time,PV(W)
2024-12-16 00:00:00,0
2024-12-16 00:05:00,0
2024-12-16 00:10:00,0
2024-12-16 00:15:00,0
2024-12-16 00:20:00,0
2024-12-16 00:25:00,0
2024-12-16 00:30:00,0
2024-12-16 00:35:00,0
2024-12-16 00:40:00,0
2024-12-16 00:45:00,0
2024-12-16 00:50:00,0
2024-12-16 00:55:00,0
2024-12-16 01:00:00,0
2024-12-16 01:05:00,0
2024-12-16 01:10:00,0
2024-12-16 01:15:00,0
2024-12-16 01:20:00,0
2024-12-16 01:25:00,0
2024-12-16 01:30:00,0
2024-12-16 01:35:00,0
2024-12-16 01:40:00,0
2024-12-16 01:45:00,0
2024-12-16 01:50:00,0
2024-12-16 01:55:00,0
2024-12-16 02:00:00,0
2024-12-16 02:05:00,0
2024-12-16 02:10:00,0
2024-12-16 02:15:00,0
2024-12-16 02:20:00,0
2024-12-16 02:25:00,0
2024-12-16 02:30:00,0
2024-12-16 02:35:00,0
2024-12-16 02:40:00,0
2024-12-16 02:45:00,0
2024-12-16 02:50:00,0
2024-12-16 02:55:00,0
2024-12-16 03:00:00,0
2024-12-16 03:05:00,0
2024-12-16 03:10:00,0
2024-12-16 03:15:00,0
2024-12-16 03:20:00,0
2024-12-16 03:25:00,0
2024-12-16 03:30:00,0
2024-12-16 03:35:00,0
2024-12-16 03:40:00,0
2024-12-16 03:45:00,0
2024-12-16 03:50:00,0
2024-12-16 03:55:00,0
2024-12-16 04:00:00,0
2024-12-16 04:05:00,0
2024-12-16 04:10:00,0
2024-12-16 04:15:00,0
2024-12-16 04:20:00,0
2024-12-16 04:25:00,0
2024-12-16 04:30:00,0
2024-12-16 04:35:00,0
2024-12-16 04:40:00,0
2024-12-16 04:45:00,0
2024-12-16 04:50:00,0
2024-12-16 04:55:00,0
2024-12-16 05:00:00,0
2024-12-16 05:05:00,0
2024-12-16 05:10:00,0
2024-12-16 05:15:00,0
2024-12-16 05:20:00,0
2024-12-16 05:25:00,0
2024-12-16 05:30:00,0
2024-12-16 05:35:00,0
2024-12-16 05:40:00,0
2024-12-16 05:45:00,0
2024-12-16 05:50:00,0
2024-12-16 05:55:00,0
2024-12-16 06:00:00,0
2024-12-16 06:05:00,0
2024-12-16 06:10:00,0
2024-12-16 06:15:00,0
2024-12-16 06:20:00,0
2024-12-16 06:25:00,0
2024-12-16 06:30:00,0
2024-12-16 06:35:00,0
2024-12-16 06:40:00,0
2024-12-16 06:45:00,0
2024-12-16 06:50:00,0
2024-12-16 06:55:00,0
2024-12-16 07:00:00,0
2024-12-16 07:05:00,0
2024-12-16 07:10:00,0
2024-12-16 07:15:00,0
2024-12-16 07:20:00,0
2024-12-16 07:25:00,157
2024-12-16 07:30:00,0
2024-12-16 07:35:00,0
2024-12-16 07:40:00,542
2024-12-16 07:45:00,690
2024-12-16 07:50:00,795
2024-12-16 07:55:00,1291
2024-12-16 08:00:00,2112
2024-12-16 08:05:00,2497
2024-12-16 08:10:00,2988
2024-12-16 08:15:00,3966
2024-12-16 08:20:00,3385
2024-12-16 08:25:00,4060
2024-12-16 08:30:00,4087
2024-12-16 08:35:00,3952
2024-12-16 08:40:00,4423
2024-12-16 08:45:00,5324
2024-12-16 08:50:00,6796
2024-12-16 08:55:00,7097
2024-12-16 09:00:00,7072
2024-12-16 09:05:00,7223
2024-12-16 09:10:00,7020
2024-12-16 09:15:00,7170
2024-12-16 09:20:00,7131
2024-12-16 09:25:00,7401
2024-12-16 09:30:00,7810
2024-12-16 09:35:00,8512
2024-12-16 09:40:00,9321
2024-12-16 09:45:00,10710
2024-12-16 09:50:00,13429
2024-12-16 09:55:00,13251
2024-12-16 10:00:00,13106
2024-12-16 10:05:00,10281
2024-12-16 10:10:00,9513
2024-12-16 10:15:00,11091
2024-12-16 10:20:00,13572
2024-12-16 10:25:00,17885
2024-12-16 10:30:00,26365
2024-12-16 10:35:00,25906
2024-12-16 10:40:00,14309
2024-12-16 10:45:00,14133
2024-12-16 10:50:00,14413
2024-12-16 10:55:00,16297
2024-12-16 11:00:00,18299
2024-12-16 11:05:00,23341
2024-12-16 11:10:00,13749
2024-12-16 11:15:00,14434
2024-12-16 11:20:00,16026
2024-12-16 11:25:00,15589
2024-12-16 11:30:00,15997
2024-12-16 11:35:00,16048
2024-12-16 11:40:00,16110
2024-12-16 11:45:00,15359
2024-12-16 11:50:00,16835
2024-12-16 11:55:00,16667
2024-12-16 12:00:00,17397
2024-12-16 12:05:00,16763
2024-12-16 12:10:00,16697
2024-12-16 12:15:00,18164
2024-12-16 12:20:00,26982
2024-12-16 12:25:00,24293
2024-12-16 12:30:00,16171
2024-12-16 12:35:00,15484
2024-12-16 12:40:00,15200
2024-12-16 12:45:00,15318
2024-12-16 12:50:00,21058
2024-12-16 12:55:00,11926
2024-12-16 13:00:00,9604
2024-12-16 13:05:00,6638
2024-12-16 13:10:00,5385
2024-12-16 13:15:00,3850
2024-12-16 13:20:00,5233
2024-12-16 13:25:00,4508
2024-12-16 13:30:00,4499
2024-12-16 13:35:00,5607
2024-12-16 13:40:00,9412
2024-12-16 13:45:00,13645
2024-12-16 13:50:00,20597
2024-12-16 13:55:00,24494
2024-12-16 14:00:00,21070
2024-12-16 14:05:00,20910
2024-12-16 14:10:00,31067
2024-12-16 14:15:00,32704
2024-12-16 14:20:00,32408
2024-12-16 14:25:00,30864
2024-12-16 14:30:00,31572
2024-12-16 14:35:00,31809
2024-12-16 14:40:00,30548
2024-12-16 14:45:00,11435
2024-12-16 14:50:00,10366
2024-12-16 14:55:00,19561
2024-12-16 15:00:00,31547
2024-12-16 15:05:00,21441
2024-12-16 15:10:00,18408
2024-12-16 15:15:00,12010
2024-12-16 15:20:00,12414
2024-12-16 15:25:00,12834
2024-12-16 15:30:00,12561
2024-12-16 15:35:00,12274
2024-12-16 15:40:00,11874
2024-12-16 15:45:00,11441
2024-12-16 15:50:00,8928
2024-12-16 15:55:00,6702
2024-12-16 16:00:00,2785
2024-12-16 16:05:00,2351
2024-12-16 16:10:00,2453
2024-12-16 16:15:00,2205
2024-12-16 16:20:00,1950
2024-12-16 16:25:00,1217
2024-12-16 16:30:00,702
2024-12-16 16:35:00,154
2024-12-16 16:40:00,104
2024-12-16 16:45:00,55
2024-12-16 16:50:00,0
2024-12-16 16:55:00,0
2024-12-16 17:00:00,0
2024-12-16 17:05:00,0
2024-12-16 17:10:00,0
2024-12-16 17:15:00,0
2024-12-16 17:20:00,0
2024-12-16 17:25:00,0
2024-12-16 17:30:00,0
2024-12-16 17:35:00,293
2024-12-16 17:40:00,243
2024-12-16 17:45:00,293
2024-12-16 17:50:00,391
2024-12-16 17:55:00,242
2024-12-16 18:00:00,193
2024-12-16 18:05:00,45
2024-12-16 18:10:00,45
2024-12-16 18:15:00,0
2024-12-16 18:20:00,0
2024-12-16 18:25:00,0
2024-12-16 18:30:00,0
2024-12-16 18:35:00,0
2024-12-16 18:40:00,0
2024-12-16 18:45:00,241
2024-12-16 18:50:00,0
2024-12-16 18:55:00,0
2024-12-16 19:00:00,0
2024-12-16 19:05:00,0
2024-12-16 19:10:00,0
2024-12-16 19:15:00,0
2024-12-16 19:20:00,0
2024-12-16 19:25:00,0
2024-12-16 19:30:00,0
2024-12-16 19:35:00,0
2024-12-16 19:40:00,0
2024-12-16 19:45:00,0
2024-12-16 19:50:00,0
2024-12-16 19:55:00,0
2024-12-16 20:00:00,0
2024-12-16 20:05:00,0
2024-12-16 20:10:00,0
2024-12-16 20:15:00,0
2024-12-16 20:20:00,0
2024-12-16 20:25:00,0
2024-12-16 20:30:00,0
2024-12-16 20:35:00,0
2024-12-16 20:40:00,0
2024-12-16 20:45:00,0
2024-12-16 20:50:00,0
2024-12-16 20:55:00,0
2024-12-16 21:00:00,0
2024-12-16 21:05:00,0
2024-12-16 21:10:00,0
2024-12-16 21:15:00,0
2024-12-16 21:20:00,0
2024-12-16 21:25:00,0
2024-12-16 21:30:00,0
2024-12-16 21:35:00,0
2024-12-16 21:40:00,0
2024-12-16 21:45:00,0
2024-12-16 21:50:00,0
2024-12-16 21:55:00,0
2024-12-16 22:00:00,0
2024-12-16 22:05:00,0
2024-12-16 22:10:00,0
2024-12-16 22:15:00,0
2024-12-16 22:20:00,0
2024-12-16 22:25:00,0
2024-12-16 22:30:00,0
2024-12-16 22:35:00,0
2024-12-16 22:40:00,0
2024-12-16 22:45:00,0
2024-12-16 22:50:00,0
2024-12-16 22:55:00,0
2024-12-16 23:00:00,0
2024-12-16 23:05:00,0
2024-12-16 23:10:00,0
2024-12-16 23:15:00,0
2024-12-16 23:20:00,0
2024-12-16 23:25:00,0
2024-12-16 23:30:00,0
2024-12-16 23:35:00,0
2024-12-16 23:40:00,0
2024-12-16 23:45:00,0
2024-12-16 23:50:00,0
2024-12-16 23:55:00,0
