Time	PV(W)	Grid(W)	Load(W)
21/12/2024 0:00	0	0	0
21/12/2024 0:05	0	0	0
21/12/2024 0:10	0	0	0
21/12/2024 0:15	0	0	0
21/12/2024 0:20	0	0	0
21/12/2024 0:25	0	0	0
21/12/2024 0:30	0	0	0
21/12/2024 0:35	0	0	0
21/12/2024 0:40	0	0	0
21/12/2024 0:45	0	0	0
21/12/2024 0:50	0	0	0
21/12/2024 0:55	0	0	0
21/12/2024 1:00	0	0	0
21/12/2024 1:05	0	0	0
21/12/2024 1:10	0	0	0
21/12/2024 1:15	0	0	0
21/12/2024 1:20	0	0	0
21/12/2024 1:25	0	0	0
21/12/2024 1:30	0	0	0
21/12/2024 1:35	0	0	0
21/12/2024 1:40	0	0	0
21/12/2024 1:45	0	0	0
21/12/2024 1:50	0	0	0
21/12/2024 1:55	0	0	0
21/12/2024 2:00	0	0	0
21/12/2024 2:05	0	0	0
21/12/2024 2:10	0	0	0
21/12/2024 2:15	0	0	0
21/12/2024 2:20	0	0	0
21/12/2024 2:25	0	0	0
21/12/2024 2:30	0	0	0
21/12/2024 2:35	0	0	0
21/12/2024 2:40	0	0	0
21/12/2024 2:45	0	0	0
21/12/2024 2:50	0	0	0
21/12/2024 2:55	0	0	0
21/12/2024 3:00	0	0	0
21/12/2024 3:05	0	0	0
21/12/2024 3:10	0	0	0
21/12/2024 3:15	0	0	0
21/12/2024 3:20	0	0	0
21/12/2024 3:25	0	0	0
21/12/2024 3:30	0	0	0
21/12/2024 3:35	0	0	0
21/12/2024 3:40	0	0	0
21/12/2024 3:45	0	0	0
21/12/2024 3:50	0	0	0
21/12/2024 3:55	0	0	0
21/12/2024 4:00	0	0	0
21/12/2024 4:05	0	0	0
21/12/2024 4:10	0	0	0
21/12/2024 4:15	0	0	0
21/12/2024 4:20	0	0	0
21/12/2024 4:25	0	0	0
21/12/2024 4:30	0	0	0
21/12/2024 4:35	0	0	0
21/12/2024 4:40	0	0	0
21/12/2024 4:45	0	0	0
21/12/2024 4:50	0	0	0
21/12/2024 4:55	0	0	0
21/12/2024 5:00	0	0	0
21/12/2024 5:05	0	0	0
21/12/2024 5:10	0	0	0
21/12/2024 5:15	0	0	0
21/12/2024 5:20	0	0	0
21/12/2024 5:25	0	0	0
21/12/2024 5:30	0	0	0
21/12/2024 5:35	0	0	0
21/12/2024 5:40	0	0	0
21/12/2024 5:45	0	0	0
21/12/2024 5:50	0	0	0
21/12/2024 5:55	0	0	0
21/12/2024 6:00	0	0	0
21/12/2024 6:05	0	0	0
21/12/2024 6:10	0	0	0
21/12/2024 6:15	0	0	0
21/12/2024 6:20	0	0	0
21/12/2024 6:25	0	0	0
21/12/2024 6:30	0	0	0
21/12/2024 6:35	0	0	0
21/12/2024 6:40	0	0	0
