Time,PV(W),Grid(W),Load(W)
2025-02-12 00:00:00,0,0,0
2025-02-12 00:05:00,0,0,0
2025-02-12 00:10:00,0,0,0
2025-02-12 00:15:00,0,0,0
2025-02-12 00:20:00,0,0,0
2025-02-12 00:25:00,0,0,0
2025-02-12 00:30:00,0,0,0
2025-02-12 00:35:00,0,0,0
2025-02-12 00:40:00,0,0,0
2025-02-12 00:45:00,0,0,0
2025-02-12 00:50:00,0,0,0
2025-02-12 00:55:00,0,0,0
2025-02-12 01:00:00,0,0,0
2025-02-12 01:05:00,0,0,0
2025-02-12 01:10:00,0,0,0
2025-02-12 01:15:00,0,0,0
2025-02-12 01:20:00,0,0,0
2025-02-12 01:25:00,0,0,0
2025-02-12 01:30:00,0,0,0
2025-02-12 01:35:00,0,0,0
2025-02-12 01:40:00,0,0,0
2025-02-12 01:45:00,0,0,0
2025-02-12 01:50:00,0,0,0
2025-02-12 01:55:00,0,0,0
2025-02-12 02:00:00,0,0,0
2025-02-12 02:05:00,0,0,0
2025-02-12 02:10:00,0,0,0
2025-02-12 02:15:00,0,0,0
2025-02-12 02:20:00,0,0,0
2025-02-12 02:25:00,0,0,0
2025-02-12 02:30:00,0,0,0
2025-02-12 02:35:00,0,0,0
2025-02-12 02:40:00,0,0,0
2025-02-12 02:45:00,0,0,0
2025-02-12 02:50:00,0,0,0
2025-02-12 02:55:00,0,0,0
2025-02-12 03:00:00,0,0,0
2025-02-12 03:05:00,0,0,0
2025-02-12 03:10:00,0,0,0
2025-02-12 03:15:00,0,0,0
2025-02-12 03:20:00,0,0,0
2025-02-12 03:25:00,0,0,0
2025-02-12 03:30:00,0,0,0
2025-02-12 03:35:00,0,0,0
2025-02-12 03:40:00,0,0,0
2025-02-12 03:45:00,0,0,0
2025-02-12 03:50:00,0,0,0
2025-02-12 03:55:00,0,0,0
2025-02-12 04:00:00,0,0,0
2025-02-12 04:05:00,0,0,0
2025-02-12 04:10:00,0,0,0
2025-02-12 04:15:00,0,0,0
2025-02-12 04:20:00,0,0,0
2025-02-12 04:25:00,0,0,0
2025-02-12 04:30:00,0,0,0
2025-02-12 04:35:00,0,0,0
2025-02-12 04:40:00,0,0,0
2025-02-12 04:45:00,0,0,0
2025-02-12 04:50:00,0,0,0
2025-02-12 04:55:00,0,0,0
2025-02-12 05:00:00,0,0,0
2025-02-12 05:05:00,0,0,0
2025-02-12 05:10:00,0,0,0
2025-02-12 05:15:00,0,0,0
2025-02-12 05:20:00,0,0,0
2025-02-12 05:25:00,0,0,0
2025-02-12 05:30:00,0,0,0
2025-02-12 05:35:00,0,0,0
2025-02-12 05:40:00,0,0,0
2025-02-12 05:45:00,0,0,0
2025-02-12 05:50:00,0,0,0
2025-02-12 05:55:00,0,0,0
2025-02-12 06:00:00,0,0,0
2025-02-12 06:05:00,0,0,0
2025-02-12 06:10:00,0,0,0
2025-02-12 06:15:00,0,0,0
2025-02-12 06:20:00,0,0,0
2025-02-12 06:25:00,0,0,0
2025-02-12 06:30:00,0,0,0
2025-02-12 06:35:00,0,0,0
2025-02-12 06:40:00,0,0,0
2025-02-12 06:45:00,0,0,0
2025-02-12 06:50:00,0,0,0
2025-02-12 06:55:00,0,0,0
2025-02-12 07:00:00,0,0,0
2025-02-12 07:05:00,0,0,0
2025-02-12 07:10:00,0,0,0
2025-02-12 07:15:00,0,0,0
2025-02-12 07:20:00,0,0,0
2025-02-12 07:25:00,0,0,0
2025-02-12 07:30:00,0,0,0
2025-02-12 07:35:00,0,0,0
2025-02-12 07:40:00,0,0,0
2025-02-12 07:45:00,679,14,693
2025-02-12 07:50:00,973,22,995
2025-02-12 07:55:00,1258,30,1288
2025-02-12 08:00:00,1621,40,1661
2025-02-12 08:05:00,2118,53,2171
2025-02-12 08:10:00,2852,70,2922
2025-02-12 08:15:00,3282,81,3363
2025-02-12 08:20:00,3719,92,3811
2025-02-12 08:25:00,4450,110,4560
2025-02-12 08:30:00,3786,93,3879
2025-02-12 08:35:00,3688,93,3781
2025-02-12 08:40:00,3496,88,3584
2025-02-12 08:45:00,3840,96,3936
2025-02-12 08:50:00,4370,110,4480
2025-02-12 08:55:00,4871,122,4993
2025-02-12 09:00:00,10525,263,10788
2025-02-12 09:05:00,11691,295,11986
2025-02-12 09:10:00,12756,321,13077
2025-02-12 09:15:00,13934,351,14285
2025-02-12 09:20:00,14348,361,14709
2025-02-12 09:25:00,15786,397,16183
2025-02-12 09:30:00,15729,396,16125
2025-02-12 09:35:00,16245,409,16654
2025-02-12 09:40:00,18125,456,18581
2025-02-12 09:45:00,18856,476,19332
2025-02-12 09:50:00,19599,496,20095
2025-02-12 09:55:00,19701,500,20201
2025-02-12 10:00:00,21466,541,22007
2025-02-12 10:05:00,22329,563,22892
2025-02-12 10:10:00,23013,581,23594
2025-02-12 10:15:00,23218,586,23804
2025-02-12 10:20:00,23823,600,24423
2025-02-12 10:25:00,23785,600,24385
2025-02-12 10:30:00,24664,622,25286
2025-02-12 10:35:00,25339,639,25978
2025-02-12 10:40:00,25142,632,25774
2025-02-12 10:45:00,27721,699,28420
2025-02-12 10:50:00,28023,710,28733
2025-02-12 10:55:00,29092,734,29826
2025-02-12 11:00:00,29634,747,30381
2025-02-12 11:05:00,29960,755,30715
2025-02-12 11:10:00,31706,800,32506
2025-02-12 11:15:00,32879,829,33708
2025-02-12 11:20:00,33138,836,33974
2025-02-12 11:25:00,34139,861,35000
2025-02-12 11:30:00,35080,885,35965
2025-02-12 11:35:00,35240,890,36130
2025-02-12 11:40:00,35621,900,36521
2025-02-12 11:45:00,36790,927,37717
2025-02-12 11:50:00,37259,940,38199
2025-02-12 11:55:00,38251,965,39216
2025-02-12 12:00:00,40297,1017,41314
2025-02-12 12:05:00,39654,1000,40654
2025-02-12 12:10:00,41075,1037,42112
2025-02-12 12:15:00,41668,1051,42719
2025-02-12 12:20:00,41249,1041,42290
2025-02-12 12:25:00,40705,1028,41733
2025-02-12 12:30:00,41011,1035,42046
2025-02-12 12:35:00,40640,1026,41666
2025-02-12 12:40:00,41231,1040,42271
2025-02-12 12:45:00,17533,443,17976
2025-02-12 12:50:00,41116,1038,42154
2025-02-12 12:55:00,38746,977,39723
2025-02-12 13:00:00,16313,410,16723
2025-02-12 13:05:00,37324,943,38267
2025-02-12 13:10:00,41871,1056,42927
2025-02-12 13:15:00,16955,426,17381
2025-02-12 13:20:00,16354,411,16765
2025-02-12 13:25:00,16975,427,17402
2025-02-12 13:30:00,18362,465,18827
2025-02-12 13:35:00,15671,394,16065
2025-02-12 13:40:00,17234,434,17668
2025-02-12 13:45:00,19457,490,19947
2025-02-12 13:50:00,42933,1085,44018
2025-02-12 13:55:00,44130,1113,45243
2025-02-12 14:00:00,29826,755,30581
2025-02-12 14:05:00,21209,540,21749
2025-02-12 14:10:00,12272,308,12580
2025-02-12 14:15:00,13502,340,13842
2025-02-12 14:20:00,16798,425,17223
2025-02-12 14:25:00,42661,1076,43737
2025-02-12 14:30:00,42661,1076,43737
2025-02-12 14:35:00,42223,1065,43288
2025-02-12 14:40:00,41795,1054,42849
2025-02-12 14:45:00,39240,989,40229
2025-02-12 14:50:00,39860,1006,40866
2025-02-12 14:55:00,39067,987,40054
2025-02-12 15:00:00,24849,623,25472
2025-02-12 15:05:00,35720,914,36634
2025-02-12 15:10:00,31528,779,32307
2025-02-12 15:15:00,34972,891,35863
2025-02-12 15:20:00,17476,438,17914
2025-02-12 15:25:00,15054,379,15433
2025-02-12 15:30:00,21708,557,22265
2025-02-12 15:35:00,15446,388,15834
2025-02-12 15:40:00,13222,338,13560
2025-02-12 15:45:00,11820,297,12117
2025-02-12 15:50:00,25186,632,25818
2025-02-12 15:55:00,14566,365,14931
2025-02-12 16:00:00,14466,364,14830
2025-02-12 16:05:00,20419,513,20932
2025-02-12 16:10:00,32636,823,33459
2025-02-12 16:15:00,32042,811,32853
2025-02-12 16:20:00,21691,547,22238
2025-02-12 16:25:00,21009,535,21544
2025-02-12 16:30:00,22910,576,23486
2025-02-12 16:35:00,23132,582,23714
2025-02-12 16:40:00,10016,251,10267
2025-02-12 16:45:00,10237,257,10494
2025-02-12 16:50:00,11307,284,11591
2025-02-12 16:55:00,11770,295,12065
2025-02-12 17:00:00,20289,512,20801
2025-02-12 17:05:00,10825,273,11098
2025-02-12 17:10:00,15187,382,15569
2025-02-12 17:15:00,17482,441,17923
2025-02-12 17:20:00,15911,401,16312
2025-02-12 17:25:00,14774,372,15146
2025-02-12 17:30:00,15188,383,15571
2025-02-12 17:35:00,13380,338,13718
2025-02-12 17:40:00,13213,332,13545
2025-02-12 17:45:00,12786,326,13112
2025-02-12 17:50:00,14950,376,15326
2025-02-12 17:55:00,16167,407,16574
