Time,PV(W),Grid(W),Load(W)
2024-12-26 00:00:00,0,0,0
2024-12-26 00:05:00,--,--,0
2024-12-26 00:10:00,--,--,0
2024-12-26 00:15:00,--,--,0
2024-12-26 00:20:00,--,--,0
2024-12-26 00:25:00,--,--,0
2024-12-26 00:30:00,--,--,0
2024-12-26 00:35:00,--,--,0
2024-12-26 00:40:00,--,--,0
2024-12-26 00:45:00,0,0,0
2024-12-26 00:50:00,0,0,0
2024-12-26 00:55:00,0,0,0
2024-12-26 01:00:00,0,0,0
2024-12-26 01:05:00,0,0,0
2024-12-26 01:10:00,0,0,0
2024-12-26 01:15:00,0,0,0
2024-12-26 01:20:00,0,0,0
2024-12-26 01:25:00,0,0,0
2024-12-26 01:30:00,0,0,0
2024-12-26 01:35:00,0,0,0
2024-12-26 01:40:00,0,0,0
2024-12-26 01:45:00,0,0,0
2024-12-26 01:50:00,0,0,0
2024-12-26 01:55:00,0,0,0
2024-12-26 02:00:00,0,0,0
2024-12-26 02:05:00,0,0,0
2024-12-26 02:10:00,0,0,0
2024-12-26 02:15:00,0,0,0
2024-12-26 02:20:00,0,0,0
2024-12-26 02:25:00,0,0,0
2024-12-26 02:30:00,0,0,0
2024-12-26 02:35:00,0,0,0
2024-12-26 02:40:00,0,0,0
2024-12-26 02:45:00,0,0,0
2024-12-26 02:50:00,0,0,0
2024-12-26 02:55:00,0,0,0
2024-12-26 03:00:00,0,0,0
2024-12-26 03:05:00,0,0,0
2024-12-26 03:10:00,0,0,0
2024-12-26 03:15:00,0,0,0
2024-12-26 03:20:00,0,0,0
2024-12-26 03:25:00,0,0,0
2024-12-26 03:30:00,0,0,0
2024-12-26 03:35:00,0,0,0
2024-12-26 03:40:00,0,0,0
2024-12-26 03:45:00,0,0,0
2024-12-26 03:50:00,0,0,0
2024-12-26 03:55:00,0,0,0
2024-12-26 04:00:00,0,0,0
2024-12-26 04:05:00,0,0,0
2024-12-26 04:10:00,0,0,0
2024-12-26 04:15:00,0,0,0
2024-12-26 04:20:00,0,0,0
2024-12-26 04:25:00,0,0,0
2024-12-26 04:30:00,0,0,0
2024-12-26 04:35:00,0,0,0
2024-12-26 04:40:00,0,0,0
2024-12-26 04:45:00,0,0,0
2024-12-26 04:50:00,0,0,0
2024-12-26 04:55:00,0,0,0
2024-12-26 05:00:00,0,0,0
2024-12-26 05:05:00,0,0,0
2024-12-26 05:10:00,0,0,0
2024-12-26 05:15:00,0,0,0
2024-12-26 05:20:00,0,0,0
2024-12-26 05:25:00,0,0,0
2024-12-26 05:30:00,0,0,0
2024-12-26 05:35:00,0,0,0
2024-12-26 05:40:00,0,0,0
2024-12-26 05:45:00,0,0,0
2024-12-26 05:50:00,0,0,0
2024-12-26 05:55:00,0,0,0
2024-12-26 06:00:00,0,0,0
2024-12-26 06:05:00,0,0,0
2024-12-26 06:10:00,0,0,0
2024-12-26 06:15:00,0,0,0
2024-12-26 06:20:00,0,0,0
2024-12-26 06:25:00,0,0,0
2024-12-26 06:30:00,0,0,0
2024-12-26 06:35:00,0,0,0
2024-12-26 06:40:00,0,0,0
2024-12-26 06:45:00,0,0,0
2024-12-26 06:50:00,0,0,0
2024-12-26 06:55:00,0,0,0
2024-12-26 07:00:00,0,0,0
2024-12-26 07:05:00,0,0,0
2024-12-26 07:10:00,0,0,0
2024-12-26 07:15:00,0,0,0
2024-12-26 07:20:00,0,0,0
2024-12-26 07:25:00,0,0,0
2024-12-26 07:30:00,0,0,0
2024-12-26 07:35:00,0,0,0
2024-12-26 07:40:00,0,0,0
2024-12-26 07:45:00,364,7,371
2024-12-26 07:50:00,425,8,433
2024-12-26 07:55:00,555,11,566
2024-12-26 08:00:00,775,17,792
2024-12-26 08:05:00,961,22,983
2024-12-26 08:10:00,1184,28,1212
2024-12-26 08:15:00,1590,38,1628
2024-12-26 08:20:00,2221,54,0
2024-12-26 08:25:00,2852,71,2923
2024-12-26 08:30:00,3672,92,3764
2024-12-26 08:35:00,4518,112,4630
2024-12-26 08:40:00,5134,129,5263
2024-12-26 08:45:00,5829,147,5976
2024-12-26 08:50:00,6405,162,6567
2024-12-26 08:55:00,7102,178,7280
2024-12-26 09:00:00,7806,196,8002
2024-12-26 09:05:00,8309,208,8517
2024-12-26 09:10:00,8140,204,8344
2024-12-26 09:15:00,7761,194,7955
2024-12-26 09:20:00,7867,199,8066
2024-12-26 09:25:00,8459,212,8671
2024-12-26 09:30:00,9315,235,9550
2024-12-26 09:35:00,9956,250,10206
2024-12-26 09:40:00,11759,295,12054
2024-12-26 09:45:00,10778,270,11048
2024-12-26 09:50:00,13085,327,13412
2024-12-26 09:55:00,13714,345,14059
2024-12-26 10:00:00,14995,377,15372
2024-12-26 10:05:00,14501,365,14866
2024-12-26 10:10:00,13994,352,14346
2024-12-26 10:15:00,14131,356,14487
2024-12-26 10:20:00,13789,347,14136
2024-12-26 10:25:00,12287,309,12596
2024-12-26 10:30:00,13425,338,13763
2024-12-26 10:35:00,13237,333,13570
2024-12-26 10:40:00,14364,361,14725
2024-12-26 10:45:00,18352,463,18815
2024-12-26 10:50:00,22132,561,22693
2024-12-26 10:55:00,20956,529,21485
2024-12-26 11:00:00,18528,468,18996
2024-12-26 11:05:00,18154,459,18613
2024-12-26 11:10:00,20649,523,21172
2024-12-26 11:15:00,19877,503,20380
2024-12-26 11:20:00,18975,479,19454
2024-12-26 11:25:00,18244,461,18705
2024-12-26 11:30:00,19568,495,20063
2024-12-26 11:35:00,18531,469,19000
2024-12-26 11:40:00,18241,461,18702
2024-12-26 11:45:00,18894,478,19372
2024-12-26 11:50:00,18090,457,18547
2024-12-26 11:55:00,17964,454,18418
2024-12-26 12:00:00,17997,455,18452
2024-12-26 12:05:00,18519,468,18987
2024-12-26 12:10:00,20539,520,21059
2024-12-26 12:15:00,21145,535,21680
2024-12-26 12:20:00,21003,531,21534
2024-12-26 12:25:00,22557,569,23126
2024-12-26 12:30:00,20491,518,21009
2024-12-26 12:35:00,23022,582,23604
2024-12-26 12:40:00,23055,583,23638
2024-12-26 12:45:00,30575,771,31346
2024-12-26 12:50:00,25161,635,25796
2024-12-26 12:55:00,19990,505,20495
2024-12-26 13:00:00,20550,520,21070
2024-12-26 13:05:00,19538,494,20032
2024-12-26 13:10:00,17613,436,18049
2024-12-26 13:15:00,17066,432,17498
