Time,PV(W),Grid(W),Load(W)
2025-01-05 00:00:00,0,0,0
2025-01-05 00:05:00,0,0,0
2025-01-05 00:10:00,0,0,0
2025-01-05 00:15:00,0,0,0
2025-01-05 00:20:00,0,0,0
2025-01-05 00:25:00,0,0,0
2025-01-05 00:30:00,0,0,0
2025-01-05 00:35:00,0,0,0
2025-01-05 00:40:00,0,0,0
2025-01-05 00:45:00,0,0,0
2025-01-05 00:50:00,0,0,0
2025-01-05 00:55:00,0,0,0
2025-01-05 01:00:00,0,0,0
2025-01-05 01:05:00,0,0,0
2025-01-05 01:10:00,0,0,0
2025-01-05 01:15:00,0,0,0
2025-01-05 01:20:00,0,0,0
2025-01-05 01:25:00,0,0,0
2025-01-05 01:30:00,0,0,0
2025-01-05 01:35:00,0,0,0
2025-01-05 01:40:00,0,0,0
2025-01-05 01:45:00,0,0,0
2025-01-05 01:50:00,0,0,0
2025-01-05 01:55:00,0,0,0
2025-01-05 02:00:00,0,0,0
2025-01-05 02:05:00,0,0,0
2025-01-05 02:10:00,0,0,0
2025-01-05 02:15:00,0,0,0
2025-01-05 02:20:00,0,0,0
2025-01-05 02:25:00,0,0,0
2025-01-05 02:30:00,0,0,0
2025-01-05 02:35:00,0,0,0
2025-01-05 02:40:00,0,0,0
2025-01-05 02:45:00,0,0,0
2025-01-05 02:50:00,0,0,0
2025-01-05 02:55:00,0,0,0
2025-01-05 03:00:00,0,0,0
2025-01-05 03:05:00,0,0,0
2025-01-05 03:10:00,0,0,0
2025-01-05 03:15:00,0,0,0
2025-01-05 03:20:00,0,0,0
2025-01-05 03:25:00,0,0,0
2025-01-05 03:30:00,0,0,0
2025-01-05 03:35:00,0,0,0
2025-01-05 03:40:00,0,0,0
2025-01-05 03:45:00,0,0,0
2025-01-05 03:50:00,0,0,0
2025-01-05 03:55:00,0,0,0
2025-01-05 04:00:00,0,0,0
2025-01-05 04:05:00,0,0,0
2025-01-05 04:10:00,0,0,0
2025-01-05 04:15:00,0,0,0
2025-01-05 04:20:00,0,0,0
2025-01-05 04:25:00,0,0,0
2025-01-05 04:30:00,0,0,0
2025-01-05 04:35:00,0,0,0
2025-01-05 04:40:00,0,0,0
2025-01-05 04:45:00,0,0,0
2025-01-05 04:50:00,0,0,0
2025-01-05 04:55:00,0,0,0
2025-01-05 05:00:00,0,0,0
2025-01-05 05:05:00,0,0,0
2025-01-05 05:10:00,0,0,0
2025-01-05 05:15:00,0,0,0
2025-01-05 05:20:00,0,0,0
2025-01-05 05:25:00,0,0,0
2025-01-05 05:30:00,0,0,0
2025-01-05 05:35:00,0,0,0
2025-01-05 05:40:00,0,0,0
2025-01-05 05:45:00,0,0,0
2025-01-05 05:50:00,0,0,0
2025-01-05 05:55:00,0,0,0
2025-01-05 06:00:00,0,0,0
2025-01-05 06:05:00,0,0,0
2025-01-05 06:10:00,0,0,0
2025-01-05 06:15:00,0,0,0
2025-01-05 06:20:00,0,0,0
2025-01-05 06:25:00,0,0,0
2025-01-05 06:30:00,0,0,0
2025-01-05 06:35:00,0,0,0
2025-01-05 06:40:00,0,0,0
2025-01-05 06:45:00,0,0,0
2025-01-05 06:50:00,0,0,0
2025-01-05 06:55:00,0,0,0
2025-01-05 07:00:00,0,0,0
2025-01-05 07:05:00,0,0,0
2025-01-05 07:10:00,0,0,0
2025-01-05 07:15:00,0,0,0
2025-01-05 07:20:00,0,0,0
2025-01-05 07:25:00,0,0,0
2025-01-05 07:30:00,0,0,0
2025-01-05 07:35:00,710,15,725
2025-01-05 07:40:00,1036,24,1060
2025-01-05 07:45:00,1434,34,1468
2025-01-05 07:50:00,1625,40,1665
2025-01-05 07:55:00,2050,51,2101
2025-01-05 08:00:00,2263,57,2320
2025-01-05 08:05:00,2832,71,2903
2025-01-05 08:10:00,4642,117,4759
2025-01-05 08:15:00,7510,189,7699
2025-01-05 08:20:00,8332,210,8542
2025-01-05 08:25:00,9482,239,9721
2025-01-05 08:30:00,10637,268,10905
2025-01-05 08:35:00,11852,299,12151
2025-01-05 08:40:00,12880,326,13206
2025-01-05 08:45:00,13456,340,13796
2025-01-05 08:50:00,14110,357,14467
2025-01-05 08:55:00,15019,379,15398
2025-01-05 09:00:00,15835,400,16235
2025-01-05 09:05:00,17012,429,17441
2025-01-05 09:10:00,17857,451,18308
2025-01-05 09:15:00,18857,477,19334
2025-01-05 09:20:00,19747,499,20246
2025-01-05 09:25:00,19760,499,20259
2025-01-05 09:30:00,20873,527,21400
2025-01-05 09:35:00,22519,568,23087
2025-01-05 09:40:00,22538,568,23106
2025-01-05 09:45:00,22564,569,23133
2025-01-05 09:50:00,24308,613,24921
2025-01-05 09:55:00,24201,611,24812
2025-01-05 10:00:00,25139,635,25774
2025-01-05 10:05:00,25971,655,26626
2025-01-05 10:10:00,26043,657,26700
2025-01-05 10:15:00,25495,642,26137
2025-01-05 10:20:00,26521,669,27190
2025-01-05 10:25:00,27257,688,27945
2025-01-05 10:30:00,28830,727,29557
2025-01-05 10:35:00,29838,754,30592
2025-01-05 10:40:00,30782,776,31558
2025-01-05 10:45:00,31099,784,31883
2025-01-05 10:50:00,31346,790,32136
2025-01-05 10:55:00,31839,803,32642
2025-01-05 11:00:00,32382,817,33199
2025-01-05 11:05:00,33390,842,34232
2025-01-05 11:10:00,35543,897,36440
2025-01-05 11:15:00,36017,909,36926
2025-01-05 11:20:00,34048,859,34907
2025-01-05 11:25:00,33227,838,34065
2025-01-05 11:30:00,32623,822,33445
2025-01-05 11:35:00,35054,886,35940
2025-01-05 11:40:00,34178,864,35042
2025-01-05 11:45:00,36357,917,37274
2025-01-05 11:50:00,36957,933,37890
2025-01-05 11:55:00,36623,924,37547
2025-01-05 12:00:00,37650,950,38600
2025-01-05 12:05:00,33794,854,34648
2025-01-05 12:10:00,37888,957,38845
2025-01-05 12:15:00,38497,972,39469
2025-01-05 12:20:00,38685,976,39661
2025-01-05 12:25:00,42240,1065,43305
2025-01-05 12:30:00,39365,995,40360
2025-01-05 12:35:00,11824,297,12121
2025-01-05 12:40:00,12825,322,13147
2025-01-05 12:45:00,13217,332,13549
2025-01-05 12:50:00,31434,787,32221
2025-01-05 12:55:00,14674,369,15043
2025-01-05 13:00:00,15000,377,15377
2025-01-05 13:05:00,13906,350,14256
2025-01-05 13:10:00,12986,327,13313
2025-01-05 13:15:00,27847,694,28541
2025-01-05 13:20:00,22465,586,23051
2025-01-05 13:25:00,25549,620,26169
2025-01-05 13:30:00,14779,377,15156
2025-01-05 13:35:00,41457,1048,42505
2025-01-05 13:40:00,28967,736,29703
2025-01-05 13:45:00,20367,512,20879
2025-01-05 13:50:00,16009,402,16411
2025-01-05 13:55:00,14570,367,14937
2025-01-05 14:00:00,30275,749,31024
2025-01-05 14:05:00,11802,296,12098
2025-01-05 14:10:00,9458,237,9695
2025-01-05 14:15:00,12387,311,12698
2025-01-05 14:20:00,16039,406,16445
2025-01-05 14:25:00,42279,1067,43346
2025-01-05 14:30:00,41384,1045,42429
